,ASC Unity,ASC Spiritual,ASC Blissful,ASC Insightfulness,ASC Disembodiment,ASC Impaired,ASC Anxiety,ASC Complex imagery,ASC Elementary imagery,ASC Audiovisual,ASC Changed,NDE Cognition,NDE Affect,NDE Paranormal,NDE Transcendental,MEQ Mystical,MEQ Positive,MEQ Transcendental,MEQ Inefability,MEQ Awe,Post Social,Post Fusion,Post Setting
ASC Changed,0.19456165033584616,0.25329272664996677,0.27755072233663425,0.20539102680459173,-0.023030625178485167,0.5164847523362998,0.38106207145918625,0.5391313823526428,-0.047297682041592064,0.23564587018321598,1.0,0.3619210984914085,0.10712329038169402,0.4910230368651169,0.3808124605438512,0.23124955349081608,0.23627731595050266,0.12109647950220744,0.27924517732223963,0.22317204312522154,-0.3192460064216061,0.11718077809637104,0.35824016307315815
NDE Cognition,0.4370089178705574,0.2053542397138537,0.3156375822519603,0.6407920339890629,0.33530506794121845,0.2314870774001613,0.34973442822194634,0.40940930800558434,0.07596786769580471,0.3593644258794076,0.3619210984914085,1.0,0.30001652236432025,0.8085954378932173,0.18503065400872787,0.5567290513335733,0.3065092587844242,0.46187787765026805,0.21076626759788966,0.4285491092154843,0.05460793917469869,0.48446962831120793,0.4766941719013426
NDE Affect,0.6472057293060555,0.47086686626796065,0.6606513194979056,0.6598754550715542,0.35502291107424044,-0.16586560059937985,-0.308715878690195,0.09500740443190488,0.5572734499932692,0.25631950248730356,0.10712329038169402,0.30001652236432025,1.0,0.4055257784585492,0.06110423693932771,0.6579073718410969,0.6501922069439444,0.4779560716265345,0.15392175842347242,0.42108777308807055,0.3838289129843161,0.632993774014848,0.17925509750719468
NDE Paranormal,0.4109776144527391,0.33406095036133054,0.37531746421192785,0.6981228089745906,0.39779761412588155,0.25212761122726607,0.32233142094429157,0.49805893542739915,0.08816165275611126,0.45656821350865584,0.4910230368651169,0.8085954378932173,0.4055257784585492,1.0,0.264227277050609,0.5860671610807295,0.4892539421387927,0.4925815027199655,0.4261175224075971,0.3271076309038511,0.01818486736144678,0.5081023683841228,0.6121585903432775
NDE Transcendental,0.008484783132486165,0.35075587558992843,-0.10211345516862565,0.10584390957458785,-0.1035258770358523,0.16307879323822463,0.3258072338881048,0.3838291180949403,-0.06254749761254182,-0.004094418689089325,0.3808124605438512,0.18503065400872787,0.06110423693932771,0.264227277050609,1.0,0.07413108645762193,0.16120316492079367,-0.18786803277582628,0.38624859161294134,0.38330466507458055,-0.06344786925037083,0.18771850475306154,0.29417102844941795
MEQ Mystical,0.8811747991325801,0.6143783700578055,0.6446220281620684,0.7528941166730265,0.6567524130450174,0.20531693918007748,0.0755172340955129,0.21630588796169717,0.4438296168640635,0.3511231637174704,0.23124955349081608,0.5567290513335733,0.6579073718410969,0.5860671610807295,0.07413108645762193,1.0,0.6212836100312786,0.8220595603075511,0.5246141903820005,0.48624668812920496,0.42626059583104664,0.6806839745063062,0.5481909764073203
MEQ Positive,0.5230798217399876,0.35964234617162794,0.6531072450982673,0.5162640209735113,0.2585063480486028,0.006026301826518364,-0.0989522895773686,0.20915255601744304,0.3396711992118375,0.4558493794524044,0.23627731595050266,0.3065092587844242,0.6501922069439444,0.4892539421387927,0.16120316492079367,0.6212836100312786,1.0,0.5264906479208121,0.35802298939230226,0.24986448913687384,0.26394782011103674,0.451546236028852,0.5515179867385245
MEQ Transcendental,0.7793462465625668,0.37401511022569456,0.535755798311344,0.5509794657356308,0.6848603123429579,0.34965696502392946,0.22270566917998377,0.2133497334183513,0.4105407439241923,0.3162953751840028,0.12109647950220744,0.46187787765026805,0.4779560716265345,0.4925815027199655,-0.18786803277582628,0.8220595603075511,0.5264906479208121,1.0,0.3987592038237785,0.27472816825211643,0.4338868466649968,0.512362661984626,0.5934743029844052
MEQ Inefability,0.3821964454856412,0.2855088620303231,0.19920759795219875,0.2341261794521775,0.26298339444547814,0.3324035135382565,0.331770806426587,0.3446136644454289,0.30730591336224045,0.25983521164616746,0.27924517732223963,0.21076626759788966,0.15392175842347242,0.4261175224075971,0.38624859161294134,0.5246141903820005,0.35802298939230226,0.3987592038237785,1.0,0.044731499195062766,0.19943694053545227,0.2180361794523086,0.5737676247807679
MEQ Awe,0.4841051416089598,0.46292330061081577,0.3295980368837834,0.5513325432721916,0.30344353873928726,0.17300593801818076,0.19952615415048036,0.3923180391970681,0.08979697001180616,0.2088708624675409,0.22317204312522154,0.4285491092154843,0.42108777308807055,0.3271076309038511,0.38330466507458055,0.48624668812920496,0.24986448913687384,0.27472816825211643,0.044731499195062766,1.0,0.1412211030002632,0.5941114045544503,0.25003419248611647
Post Social,0.4986424291268634,0.44736470599066896,0.4617185615657058,0.2799461059682332,0.3757584396124576,-0.09171422021803505,-0.1207613206764451,-0.14734380537488254,0.18339530925268746,0.1111477572740016,-0.3192460064216061,0.05460793917469869,0.3838289129843161,0.01818486736144678,-0.06344786925037083,0.42626059583104664,0.26394782011103674,0.4338868466649968,0.19943694053545227,0.1412211030002632,1.0,0.6543040435537677,0.16271708886923017
Post Fusion,0.6661114200636911,0.6998662892386321,0.6600243149471059,0.6867173530238232,0.5296499770467709,0.06280593462973916,0.025807016157612436,0.1809446653338243,0.2577813091392634,0.28707910460708397,0.11718077809637104,0.48446962831120793,0.632993774014848,0.5081023683841228,0.18771850475306154,0.6806839745063062,0.451546236028852,0.512362661984626,0.2180361794523086,0.5941114045544503,0.6543040435537677,1.0,0.30307450036477124
Post Setting,0.4552902612087998,0.38027421407736306,0.3391923169602058,0.48167802142945776,0.5073594854181306,0.5033070441892028,0.49130295285045833,0.6214735727191955,0.12225094939915324,0.3215280581683772,0.35824016307315815,0.4766941719013426,0.17925509750719468,0.6121585903432775,0.29417102844941795,0.5481909764073203,0.5515179867385245,0.5934743029844052,0.5737676247807679,0.25003419248611647,0.16271708886923017,0.30307450036477124,1.0
