,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
ASC Changed,-0.12601900073404518,-0.3142697407416728,0.22282782898998935,0.17522200717862565,-0.06481477152477798,0.30815867159155874,0.20205133740021805,-0.3455055320640371,0.26990017861213544,-0.2673028416068789,-0.054137724551553364,-0.03443106342049923,-0.2759810568637561,-0.22609077377903072,-0.10446800332088409,0.18458636978318949,-0.13293595638097988,0.0701937763839503,0.06875973171048198,0.3052180943650815,-0.2285713763172916,-0.19425148317894195,0.12038271303846784
NDE Cognition,-0.2173470439520705,-0.141551181887236,0.13747187366715188,0.10104648070401628,0.39663641431832203,-0.16739024243607176,-0.05352141211923225,0.2731206334677947,-0.03803954332270846,-0.34846496988085185,-0.019369408667360706,-0.31850115299256093,-0.09134976372169734,0.18922977201356653,-0.15893710884796103,0.21219499367248967,0.44908464927879627,0.18278603400355686,-0.007507330612743779,-0.1461671828367747,0.08176919064021639,-0.10087727528848106,0.1682571373574956
NDE Affect,-0.2268107618703443,0.26339955386982483,0.21400787806047994,0.1712246386898689,-0.06273368219285509,0.19159695262866536,-0.07744496781988694,0.05225838510519663,-0.0002853381511399438,0.1066634617696143,-0.21169406665626986,0.04059581128612146,0.2393717726887578,-0.46044192470938067,-0.11938690843601661,-0.19489613734301342,0.12417212430332022,0.4268236703807118,-0.15835034705707796,-0.24574497731791328,-0.1974989648412082,0.19124527818145118,0.12907604962697536
NDE Paranormal,-0.2458078934952171,-0.16669157633950993,0.14728821293571717,0.21410126873229776,0.2191923918381048,-0.27325993654859704,0.012999772236958763,0.1422534669524629,0.1991588391850645,-0.12198795050453086,-0.22083499452996638,0.000858479319156919,-0.007761683099013112,-0.08129506552497658,0.2418566327032585,-0.22129254075090224,-0.39098824073244004,-0.013879709276796777,-0.1940712851014361,0.2025695472051515,0.37248650696121455,0.31155563089509375,-0.1269407565573452
NDE Transcendental,-0.07363575034488457,-0.24427583402742412,0.401535081367842,-0.19373667077112472,-0.4496141676962277,-0.1605261652451839,-0.15449998287603525,0.15378419677872374,0.032186466140255325,-0.008423267461456791,0.1264282472980038,-0.301852852224239,0.19414992213480556,-0.2241641120425107,-0.1142346966497075,0.11526122817754333,-0.043300623542627044,-0.16665702813475283,-0.08173746857593607,-0.1563722412670505,0.06990376224428532,-0.1944086622225465,-0.3670867906424936
MEQ Mystical,-0.3041546565034898,0.10318539239745601,-0.07601648744583962,0.034451420789665836,-0.021061525288288932,0.021995031445859247,0.010758753560672225,0.11389414797082988,0.16092371501885946,-0.10700889390185632,0.32265081208435414,0.1080235558368467,-0.15065379142531357,0.006577939014475772,-0.09036187603742057,-0.06663405721387589,0.31119664225720584,-0.17446167270227628,0.10276427101669416,0.1906232712425644,-0.3309693070611952,0.4489152149957805,-0.4496149799868095
MEQ Positive,-0.22781199607601738,0.09660588385931664,0.10708742897199029,0.366648895429439,-0.1704197250706727,-0.1551801335096127,0.1037242770634005,-0.20784036758449564,-0.1497355136214731,0.37400184795615354,0.18512997484169538,-0.2861160884846797,0.1119869469243496,-0.04865048971118614,0.24268462907472926,0.13057147297922925,0.24122966077968558,-0.26130671295533037,0.05976298639541426,0.2271594937196647,0.11571519549617268,0.09162060957380229,0.3362634558911272
MEQ Transcendental,-0.26207088934035366,0.0695284021560748,-0.34622852718473224,0.0670308217757486,0.09639017163503598,0.04423117295055335,0.11041855499781757,0.08065815009908024,-0.05554244612974325,-0.021472622990103257,0.2033140536837509,-0.20526356565910064,-0.2602528098840176,-0.3693133552821378,0.12152762047929515,-0.40533076816037517,-0.06464305342293422,-0.05853399249382248,0.23468851476147184,-0.21384542883135058,0.12150861304315236,-0.4141798783122814,-0.08513160338954816
MEQ Inefability,-0.1715666222743345,-0.14724133149191862,-0.1798431696699627,0.12665614638586256,-0.49066437317297046,-0.27250132462237453,0.014368998471196734,0.16668905347601395,0.08815362827884853,-0.26820153743002395,0.12653303790342177,0.5313843769865043,0.024920192196721716,0.02095255063471683,0.1996432788450306,0.08310728612516258,0.10417773340765465,0.1854534966459035,0.04536056209005693,-0.10269458448960098,0.07047563601742583,-0.10135345260281801,0.24187364135646705
MEQ Awe,-0.19115615009520573,-0.03252770813494673,0.32605442182001637,-0.30070458497793967,0.11257647151217723,0.2674712590541638,-0.2629261747320675,0.1030491460424529,-0.2848701528866283,0.16262002648821755,0.41979926710021376,0.16773143093011747,-0.2257302864265745,0.03165429181641982,0.2238505284579563,0.05234935662192681,-0.11504366791288992,0.3193097903338928,0.03445306484447853,0.19079482277908302,0.16606841639764103,0.008557020082878942,0.06708421794323409
